station_id,name,lat,lon,altitude,address,post_code,capacity
56,"PORTAL DE SANTA MADRONA, 2-4",41.3770715,2.1758261,5.0,"PORTAL DE SANTA MADRONA, 2-4",8001,27
57,"LA RAMBLA, 2 (MUSEO DE CERA)",41.377187,2.176757,4.0,"LA RAMBLA, 2 (MUSEO DE CERA)",8002,25
58,PLAÇA DELS ÀNGELS (MACBA),41.38268,2.16712,11.0,PLAÇA DELS ÀNGELS (MACBA),8001,43
60,"RBLA. CATALUNYA, 47",41.3902625,2.164035,27.0,"RBLA. CATALUNYA, 47",8007,27
61,"C/ ARAGÓ, 288",41.39352,2.166797,26.0,"C/ ARAGÓ, 288",8009,20
62,"PL. CATALUNYA, 5",41.387235,2.168819,19.0,"PL. CATALUNYA, 5",8002,25
63,"PL. CATALUNYA, 7",41.386543,2.169427,19.0,"PL. CATALUNYA, 7",8002,27
64,"PL. CATALUNYA, 10-11 (LA RAMBLA)",41.387493,2.1690686,21.0,"PL. CATALUNYA, 10-11 (LA RAMBLA)",8002,21
65,"PL. CATALUNYA, 10-11 (PG. DE GRÀCIA)",41.387696,2.1696543,20.0,"PL. CATALUNYA, 10-11 (PG. DE GRÀCIA)",8002,21
66,"GRAN VIA DE LES CORTS CATALANES, 609",41.3893222,2.1678388,23.0,"GRAN VIA DE LES CORTS CATALANES, 609",8007,16
67,"C/ ROCAFORT, 214 | C/ ROSSELLÓ",41.3852864,2.1454802,37.0,"C/ ROCAFORT, 214 | C/ ROSSELLÓ",8029,24
68,"RAMBLA CATALUNYA, 133 /  CÒRSEGA",41.3953894,2.1572953,44.0,"RAMBLA CATALUNYA, 133 /  CÒRSEGA",8008,27
69,"CARRER DE LA MARINA,25-33",41.388507,2.195073,7.0,"CARRER DE LA MARINA,25-33",8005,43
70,"C/ COMTE URGELL, 23",41.380393,2.1606506,15.0,"C/ COMTE URGELL, 23",8011,27
71,"C/ FLORIDABLANCA, 145",41.3819459,2.1629146,16.0,"C/ FLORIDABLANCA, 145",8011,21
72,"UAB - C/ PROVENÇA, 215",41.3927771,2.1586273,37.0,"UAB - C/ PROVENÇA, 215",8008,27
73,"C/ ENRIC GRANADOS, 93",41.392135,2.1563542,39.0,"C/ ENRIC GRANADOS, 93",8008,26
74,"AV. JOSEP TARRADELLAS, 133",41.3900085,2.1432105,47.0,"AV. JOSEP TARRADELLAS, 133",8029,15
75,"AV. JOSEP TARRADELLAS, 58",41.385004,2.1429115,40.0,"AV. JOSEP TARRADELLAS, 58",8029,21
76,"C/ CÒRSEGA, 216",41.3917666,2.1532163,40.0,"C/ CÒRSEGA, 216",8036,32
77,"AV. FRANCESC CAMBÓ, 10",41.3855644,2.1773214,8.0,"AV. FRANCESC CAMBÓ, 10",8003,24
